Ticket No,Priority,State,Category,Issue,Skill Team,Hosting,Create Date,Picked Date,Completed Date,Assignee,Customer Rating,Outcome,Escalated,Reached via
T476,Medium,California,Cyber Consultation,Application Offboarding,Legal,On Prem Server,15-09-2021 18:40,16-09-2021 09:51,23-09-2021 10:17,Bob,Excellent (5),Advised for a risk assessment,,Ticket Portal
T477,High,California,Cyber Consultation,New Application Launch,Legal,On Prem Cloud,15-09-2021 21:28,16-09-2021 17:33,21-09-2021 20:10,Robbin,Unsatisfactory (2),Advised for a risk assessment,Yes,Ticket Portal
T478,Medium,North Carolina,Data Privacy,GDPR,Manufacturing,On Prem Cloud,16-09-2021 12:51,16-09-2021 13:07,16-09-2021 17:55,Cinderalla,Unsatisfactory (2),Resolved,Yes,Ticket Portal
T479,Low,California,Cyber Consultation,BCP/DR,HR,Vendor Cloud,16-09-2021 22:10,16-09-2021 22:10,16-09-2021 22:10,Veronica,Unsatisfactory (2),Recommended Threat Assessment,Yes,Ticket Portal
T48,High,Florida,Cyber Security Breach,Malware Attack,IT,On Prem Cloud,31-01-2021 15:53,31-01-2021 15:56,04-06-2021 12:27,Martina,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T480,Low,Utah,Data Privacy,HIPAA,HR,On Prem Server,17-09-2021 09:59,17-09-2021 10:57,20-10-2021 14:47,Robbin,Unsatisfactory (2),Recommended Threat Assessment,Yes,Ticket Portal
T481,High,Texas,Cyber Security Breach,Firewall,Manufacturing,Vendor Cloud,17-09-2021 13:24,17-09-2021 13:24,17-09-2021 13:24,Veronica,Excellent (5),Resolved,,Ticket Portal
T482,High,Illinois,Cyber Consultation,BCP/DR,Marketing,On Prem Server,17-09-2021 21:45,20-09-2021 09:20,23-09-2021 10:19,Bob,Unsatisfactory (2),Resolved,Yes,Ticket Portal
T483,High,California,Data Leak,Insider Threat,HR,On Prem Cloud,17-09-2021 21:50,17-09-2021 22:03,23-09-2021 18:47,Veronica,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T484,Low,Utah,Cyber Consultation,Network Security,IT,Vendor Cloud,20-09-2021 14:11,20-09-2021 14:50,22-09-2021 16:12,Robbin,Unsatisfactory (2),Advised for a risk assessment,Yes,Mail
T485,Medium,Missouri,Data Privacy,Privacy Assessment,IT,On Prem Cloud,20-09-2021 15:45,20-09-2021 15:47,01-02-2022 12:40,Sebastian,Excellent (5),Recommended Threat Assessment,,Mail
T486,Low,Massachusetts,Data Leak,Insider Threat,Marketing,Vendor Cloud,21-09-2021 07:24,21-09-2021 10:49,06-10-2021 16:21,Bob,Excellent (5),Advised for a risk assessment,,Ticket Portal
T487,Low,Ohio,Data Privacy,GDPR,Finance,On Prem Cloud,21-09-2021 10:42,21-09-2021 18:02,25-10-2021 13:07,Allan,Good (4),Resolved,,Ticket Portal
T488,High,New York,Cyber Security Breach,Firewall,Legal,On Prem Server,21-09-2021 21:05,21-09-2021 21:37,25-10-2021 20:26,Sebastian,Unsatisfactory (2),Resolved,Yes,Ticket Portal
T489,High,Missouri,Data Leak,Phishing,HR,On Prem Server,22-09-2021 11:48,22-09-2021 11:54,30-09-2021 13:01,Robbin,Good (4),Resolved,,Personal Call
T49,High,California,Data Privacy,GDPR,IT,On Prem Server,03-02-2021 22:09,03-02-2021 22:12,10-02-2021 18:32,Martina,Good (4),Resolved,,Personal Call
T490,Medium,Texas,Data Leak,Insider Threat,Finance,On Prem Server,22-09-2021 12:12,22-09-2021 14:48,22-12-2021 23:49,Aleena,Unsatisfactory (2),Recommended Threat Assessment,Yes,Mail
T491,Low,California,Security Gap,Password non-expiry,Finance,On Prem Server,22-09-2021 14:35,22-09-2021 14:38,28-09-2021 11:21,Cinderalla,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T492,Low,New York,Cyber Consultation,New Application Launch,Marketing,Vendor Cloud,23-09-2021 14:09,28-04-2021 22:11,14-10-2021 17:03,Allan,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T493,High,Oklahoma,Cyber Consultation,New Application Launch,HR,On Prem Server,23-09-2021 18:45,23-09-2021 18:49,25-09-2021 00:02,Martina,Unsatisfactory (2),Resolved,Yes,Ticket Portal
T494,Low,Iowa,Data Privacy,Privacy Assessment,Marketing,On Prem Cloud,23-09-2021 21:01,23-09-2021 21:06,01-11-2021 17:32,Martina,Excellent (5),Resolved,,Ticket Portal
T495,Low,District of Columbia,Data Privacy,HIPAA,Finance,On Prem Server,23-09-2021 22:31,24-09-2021 11:04,28-09-2021 15:47,Sebastian,Excellent (5),Resolved,,Ticket Portal
T496,Low,Illinois,Data Privacy,PCI-DSS,HR,On Prem Server,23-09-2021 23:16,24-09-2021 11:55,30-09-2021 19:19,Charles,Unsatisfactory (2),Recommended Threat Assessment,,Mail
T497,High,Arizona,Security Gap,Unauthorized access,Manufacturing,On Prem Cloud,24-09-2021 20:21,24-09-2021 20:27,24-09-2021 20:27,Veronica,Excellent (5),Resolved,,Ticket Portal
T498,High,New York,Cyber Security Breach,Malware Attack,Manufacturing,On Prem Server,27-09-2021 11:29,27-09-2021 12:45,01-10-2021 17:44,Kareema,Satisfactory (3),Resolved,,Mail
T499,High,Virginia,Security Gap,Unauthorized software,HR,On Prem Server,28-09-2021 12:01,28-09-2021 13:14,01-10-2021 08:13,Cinderalla,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T50,High,Arizona,Cyber Security Breach,Malware Attack,Finance,On Prem Cloud,04-02-2021 10:26,04-02-2021 10:27,04-02-2021 11:47,Allan,Unsatisfactory (2),Resolved,Yes,Ticket Portal
T500,Low,California,Security Gap,Obsolete Software,Finance,Vendor Cloud,28-09-2021 18:44,29-09-2021 10:33,01-10-2021 11:17,Charles,Satisfactory (3),Advised for a risk assessment,,Personal Call
T501,Low,Utah,Data Leak,Vishing,IT,On Prem Server,28-09-2021 19:17,29-09-2021 09:41,29-09-2021 16:25,Cinderalla,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T502,High,Delaware,Data Leak,Phishing,IT,On Prem Cloud,29-09-2021 11:51,29-09-2021 17:15,12-01-2022 21:48,Martina,Good (4),Resolved,,Ticket Portal
T503,High,Texas,Data Leak,Insider Threat,Finance,On Prem Cloud,29-09-2021 12:51,30-09-2021 08:19,03-03-2022 16:50,Cinderalla,Satisfactory (3),Resolved,,Ticket Portal
T504,High,New York,Cyber Consultation,BCP/DR,Legal,On Prem Server,29-09-2021 17:55,29-09-2021 20:17,25-10-2021 16:07,Veronica,Excellent (5),Advised for a risk assessment,,Mail
T505,Low,California,Cyber Consultation,BCP/DR,Manufacturing,Vendor Cloud,29-09-2021 19:47,29-09-2021 19:52,01-10-2021 17:00,Charles,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T506,Medium,Georgia,Cyber Consultation,Access Management,HR,Vendor Cloud,29-09-2021 20:50,29-09-2021 20:56,07-10-2021 21:59,Martina,Excellent (5),Resolved,,Ticket Portal
T507,High,Texas,Data Privacy,HIPAA,Finance,On Prem Server,30-09-2021 20:29,30-09-2021 20:30,30-09-2021 20:31,Allan,Unsatisfactory (2),Recommended Threat Assessment,,Ticket Portal
T508,Low,Arizona,Cyber Consultation,Encryption,HR,Vendor Cloud,30-09-2021 20:36,30-09-2021 20:39,30-09-2021 20:40,Allan,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T509,Low,New Jersey,Security Gap,Unauthorized access,Manufacturing,On Prem Server,30-09-2021 20:43,30-09-2021 20:43,30-09-2021 20:44,Allan,Excellent (5),Advised for a risk assessment,,Personal Call
T51,High,Utah,Data Privacy,HIPAA,Legal,On Prem Cloud,06-02-2021 23:44,06-02-2021 23:57,10-02-2021 17:53,Martina,Good (4),Recommended Threat Assessment,,Ticket Portal
T510,Medium,New Jersey,Security Gap,Unauthorized software,Marketing,Vendor Cloud,30-09-2021 20:49,30-09-2021 20:49,30-09-2021 20:51,Allan,Good (4),Advised for a risk assessment,,Ticket Portal
T511,Low,California,Cyber Consultation,Application Offboarding,Finance,On Prem Cloud,30-09-2021 20:54,30-09-2021 20:54,30-09-2021 20:56,Allan,Satisfactory (3),Resolved,,Ticket Portal
T512,High,Indiana,Cyber Security Breach,Malware Attack,Legal,Vendor Cloud,30-09-2021 20:58,30-09-2021 21:09,30-09-2021 21:11,Allan,Unsatisfactory (2),Resolved,,Ticket Portal
T513,High,New Jersey,Data Leak,Phishing,IT,Vendor Cloud,30-09-2021 21:14,30-09-2021 21:14,30-09-2021 21:18,Allan,Excellent (5),Advised for a risk assessment,,Personal Call
T514,High,Pennsylvania,Data Leak,Insider Threat,Marketing,On Prem Cloud,01-10-2021 15:47,01-10-2021 15:48,08-10-2021 09:32,Charles,Excellent (5),Resolved,,Personal Call
T515,Low,Kansas,Data Leak,Phishing,Marketing,On Prem Cloud,01-10-2021 19:27,04-10-2021 10:43,17-03-2022 22:08,Veronica,Excellent (5),Resolved,,Ticket Portal
T516,Low,New York,Data Privacy,Privacy Assessment,Marketing,Vendor Cloud,04-10-2021 16:46,04-10-2021 16:49,04-10-2021 20:36,Sebastian,Unsatisfactory (2),Recommended Threat Assessment,,Ticket Portal
T517,Low,Virginia,Data Privacy,Privacy Assessment,IT,On Prem Cloud,05-10-2021 18:19,05-10-2021 18:21,05-10-2021 18:23,Veronica,Excellent (5),Resolved,,Mail
T518,High,California,Data Privacy,HIPAA,IT,Vendor Cloud,05-10-2021 23:22,05-10-2021 23:23,25-10-2021 16:38,Martina,Good (4),Resolved,,Ticket Portal
T519,High,Pennsylvania,Cyber Security Breach,Firewall,Legal,On Prem Server,06-10-2021 01:22,06-10-2021 10:21,26-10-2021 14:09,Charles,Unsatisfactory (2),Advised for a risk assessment,,Ticket Portal
T52,High,Missouri,Data Privacy,GDPR,Manufacturing,On Prem Server,06-02-2021 23:44,06-02-2021 23:57,10-02-2021 17:53,Martina,Excellent (5),Advised for a risk assessment,,Ticket Portal
T520,Low,California,Data Privacy,HIPAA,Finance,On Prem Cloud,06-10-2021 02:23,06-10-2021 11:39,06-10-2021 11:39,Cinderalla,Excellent (5),Resolved,,Ticket Portal
T521,Low,Colorado,Data Leak,Vishing,Manufacturing,Vendor Cloud,06-10-2021 18:36,06-10-2021 18:40,08-10-2021 11:59,Sean,Excellent (5),Recommended Threat Assessment,,Personal Call
T522,Medium,Arizona,Data Leak,Insider Threat,HR,On Prem Cloud,07-10-2021 19:27,07-10-2021 20:04,19-10-2021 19:36,Cinderalla,Good (4),Resolved,,Personal Call
T523,Medium,California,Data Leak,Phishing,Marketing,On Prem Server,07-10-2021 23:39,07-10-2021 23:43,13-10-2021 20:31,Martina,Satisfactory (3),Resolved,,Mail
T524,High,Colorado,Security Gap,Password non-expiry,IT,On Prem Cloud,11-10-2021 21:12,11-10-2021 21:17,25-10-2021 17:25,Martina,Good (4),Recommended Threat Assessment,,Ticket Portal
T525,High,Texas,Cyber Security Breach,Firewall,IT,On Prem Server,12-10-2021 18:58,12-10-2021 20:25,19-11-2021 11:08,Robbin,Excellent (5),Resolved,,Ticket Portal
T526,High,Colorado,Security Gap,Unauthorized access,Legal,Vendor Cloud,13-10-2021 06:08,13-10-2021 10:00,13-10-2021 10:00,Veronica,Good (4),Resolved,,Ticket Portal
T527,High,Maryland,Cyber Security Breach,Firewall,Finance,On Prem Server,13-10-2021 18:12,13-10-2021 18:56,13-10-2021 18:56,Sean,Satisfactory (3),Advised for a risk assessment,,Ticket Portal
T528,Low,New York,Data Privacy,Privacy Assessment,HR,Vendor Cloud,13-10-2021 20:06,14-10-2021 02:00,01-11-2021 22:11,Martina,Excellent (5),Resolved,,Personal Call
T529,High,Virginia,Data Privacy,GDPR,IT,On Prem Cloud,14-10-2021 15:06,14-10-2021 16:57,28-02-2022 15:32,Veronica,Excellent (5),Resolved,,Ticket Portal
T53,Medium,California,Security Gap,Obsolete Software,Marketing,Vendor Cloud,07-02-2021 14:38,07-02-2021 14:41,03-09-2021 17:36,Kareema,Satisfactory (3),Resolved,,Ticket Portal
T530,Low,Arizona,Security Gap,Password non-expiry,IT,On Prem Server,14-10-2021 19:27,14-10-2021 19:30,27-10-2021 20:11,Martina,Satisfactory (3),Advised for a risk assessment,,Ticket Portal
T531,Low,Iowa,Cyber Consultation,New Application Launch,Finance,On Prem Server,14-10-2021 21:36,15-10-2021 13:40,22-10-2021 17:29,Sylviya,Unsatisfactory (2),Advised for a risk assessment,,Ticket Portal
T532,High,Georgia,Cyber Consultation,Application Offboarding,Legal,On Prem Server,15-10-2021 22:01,18-10-2021 10:05,26-10-2021 14:13,Charles,Excellent (5),Advised for a risk assessment,,Ticket Portal
T533,High,Michigan,Cyber Security Breach,Firewall,IT,Vendor Cloud,18-10-2021 18:36,18-10-2021 19:16,26-10-2021 20:39,Sean,Good (4),Resolved,,Ticket Portal
T534,Low,Colorado,Data Privacy,HIPAA,IT,On Prem Server,18-10-2021 19:02,18-10-2021 19:45,21-10-2021 18:01,Martina,Good (4),Resolved,,Ticket Portal
T535,High,Texas,Data Privacy,GDPR,HR,On Prem Cloud,18-10-2021 23:45,20-10-2021 10:13,26-10-2021 14:16,Charles,Unsatisfactory (2),Recommended Threat Assessment,,Ticket Portal
T536,High,Indiana,Cyber Consultation,Application Offboarding,IT,On Prem Cloud,19-10-2021 22:14,19-10-2021 22:58,19-10-2021 23:05,Martina,Good (4),Resolved,,Ticket Portal
T537,Medium,Texas,Data Leak,Insider Threat,IT,Vendor Cloud,19-10-2021 23:28,20-10-2021 16:52,25-10-2021 18:03,Aleena,Excellent (5),Resolved,,Personal Call
T538,Low,New York,Data Leak,Vishing,Manufacturing,On Prem Cloud,20-10-2021 17:39,20-10-2021 17:39,22-10-2021 15:37,Veronica,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T539,Medium,California,Data Privacy,Privacy Assessment,IT,On Prem Cloud,20-10-2021 19:32,20-10-2021 19:39,21-10-2021 16:28,Martina,Good (4),Resolved,,Ticket Portal
T54,High,Michigan,Data Leak,Insider Threat,IT,Vendor Cloud,07-02-2021 20:22,07-02-2021 20:23,11-02-2021 17:45,Veronica,Good (4),Resolved,,Personal Call
T540,High,Alabama,Cyber Security Breach,Spyware,Legal,On Prem Cloud,22-10-2021 20:24,22-10-2021 20:59,25-10-2021 20:00,Martina,Good (4),Advised for a risk assessment,,Personal Call
T541,Medium,South Carolina,Cyber Consultation,New Application Launch,Finance,On Prem Server,22-10-2021 20:38,22-10-2021 21:03,25-10-2021 18:14,Martina,Unsatisfactory (2),Resolved,,Mail
T542,Medium,Massachusetts,Cyber Consultation,Network Security,HR,On Prem Server,25-10-2021 10:59,16-09-2021 22:10,25-10-2021 11:13,Veronica,Good (4),Recommended Threat Assessment,,Ticket Portal
T543,Medium,Tennessee,Data Leak,Phishing,IT,Vendor Cloud,26-10-2021 12:40,26-10-2021 13:37,03-11-2021 19:00,Benny,Excellent (5),Resolved,,Ticket Portal
T544,High,Florida,Data Leak,Insider Threat,Marketing,On Prem Server,26-10-2021 13:28,26-10-2021 15:16,26-10-2021 15:21,Veronica,Excellent (5),Advised for a risk assessment,,Ticket Portal
T545,High,Missouri,Data Leak,Insider Threat,Finance,Vendor Cloud,26-10-2021 18:16,26-10-2021 18:17,10-11-2021 19:04,Robbin,Excellent (5),Advised for a risk assessment,,Ticket Portal
T546,Low,Virginia,Data Privacy,PCI-DSS,IT,Vendor Cloud,27-10-2021 11:38,27-10-2021 11:39,10-11-2021 11:18,Veronica,Excellent (5),Advised for a risk assessment,,Ticket Portal
T547,High,Texas,Cyber Security Breach,Malware Attack,HR,Vendor Cloud,27-10-2021 17:17,27-10-2021 17:17,05-11-2021 12:27,Robbin,Excellent (5),Resolved,,Mail
T548,High,Ohio,Data Leak,Phishing,IT,On Prem Server,28-10-2021 03:12,28-10-2021 09:42,05-11-2021 17:39,Sean,Unsatisfactory (2),Resolved,,Ticket Portal
T549,High,Michigan,Data Privacy,PCI-DSS,Legal,On Prem Cloud,28-10-2021 19:24,29-10-2021 16:35,08-11-2021 16:56,Charlotte,Good (4),Recommended Threat Assessment,,Ticket Portal
T55,Medium,Oregon,Data Privacy,GDPR,HR,Vendor Cloud,11-02-2021 12:15,11-02-2021 12:16,13-02-2021 22:08,Charlotte,Excellent (5),Resolved,,Ticket Portal
T550,High,New York,Data Privacy,Privacy Assessment,HR,On Prem Cloud,28-10-2021 20:24,28-10-2021 20:25,28-10-2021 20:26,Veronica,Satisfactory (3),Advised for a risk assessment,,Ticket Portal
T551,High,California,Data Leak,Insider Threat,HR,On Prem Server,29-10-2021 16:12,28-07-2021 23:43,03-11-2021 12:06,Charles,Unsatisfactory (2),Resolved,,Ticket Portal
T552,Medium,Wisconsin,Data Leak,Vishing,HR,On Prem Server,01-11-2021 13:15,01-11-2021 13:17,05-11-2021 12:29,Robbin,Good (4),Recommended Threat Assessment,,Ticket Portal
T553,High,Massachusetts,Data Leak,Insider Threat,Legal,On Prem Server,02-11-2021 01:41,02-11-2021 01:43,21-12-2021 18:52,Martina,Unsatisfactory (2),Resolved,,Ticket Portal
T554,Low,Florida,Data Privacy,HIPAA,Legal,On Prem Server,02-11-2021 02:51,02-11-2021 17:36,09-11-2021 14:37,Michael,Excellent (5),Recommended Threat Assessment,,Mail
T555,High,Florida,Cyber Consultation,Secure Development,Finance,On Prem Server,02-11-2021 10:45,02-11-2021 17:37,11-11-2021 11:45,Sean,Good (4),Advised for a risk assessment,,Mail
T556,High,California,Data Privacy,GDPR,Legal,On Prem Server,02-11-2021 21:36,02-11-2021 21:37,02-11-2021 21:37,Sylviya,Unsatisfactory (2),Advised for a risk assessment,,Ticket Portal
T557,High,New Jersey,Security Gap,Unauthorized access,Marketing,Vendor Cloud,03-11-2021 18:48,03-11-2021 20:07,26-11-2021 16:38,Allan,Excellent (5),Resolved,,Ticket Portal
T558,Low,New York,Cyber Consultation,Third Party Engagement,Manufacturing,On Prem Cloud,05-11-2021 23:05,06-11-2021 00:35,18-11-2021 22:52,Martina,Excellent (5),Advised for a risk assessment,,Ticket Portal
T559,High,Massachusetts,Data Privacy,GDPR,IT,On Prem Cloud,08-11-2021 19:59,08-11-2021 21:23,22-11-2021 11:36,Bob,Good (4),Recommended Threat Assessment,,Ticket Portal
T56,Medium,Colorado,Cyber Consultation,Segregation of Duties,Finance,On Prem Cloud,11-02-2021 18:15,11-02-2021 18:15,13-02-2021 11:10,Benny,Good (4),Advised for a risk assessment,,Ticket Portal
T560,High,California,Data Privacy,PCI-DSS,Legal,On Prem Cloud,09-11-2021 00:13,09-11-2021 00:23,12-11-2021 17:47,Martina,Excellent (5),Resolved,,Ticket Portal
T561,Medium,Missouri,Cyber Consultation,Database Security,Legal,On Prem Server,09-11-2021 01:12,09-11-2021 14:29,17-11-2021 20:13,Sean,Unsatisfactory (2),Advised for a risk assessment,,Ticket Portal
T562,Medium,California,Data Privacy,GDPR,IT,Vendor Cloud,09-11-2021 18:17,09-11-2021 18:20,29-11-2021 11:01,Kareema,Excellent (5),Advised for a risk assessment,,Ticket Portal
T563,High,California,Data Leak,Insider Threat,IT,On Prem Cloud,09-11-2021 19:19,09-11-2021 19:22,21-12-2021 18:56,Martina,Unsatisfactory (2),Recommended Threat Assessment,,Ticket Portal
T564,High,Arizona,Cyber Security Breach,Malware Attack,Finance,On Prem Server,10-11-2021 18:51,10-11-2021 18:51,10-11-2021 18:54,Robbin,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T565,Medium,Oregon,Data Leak,Insider Threat,Finance,On Prem Cloud,11-11-2021 04:19,11-11-2021 17:31,11-11-2021 17:31,Sylviya,Excellent (5),Resolved,,Ticket Portal
T566,High,North Carolina,Cyber Security Breach,Firewall,IT,On Prem Server,15-11-2021 19:15,15-11-2021 19:27,15-11-2021 19:27,Martina,Excellent (5),Recommended Threat Assessment,,Personal Call
T567,High,Maryland,Data Leak,Insider Threat,Manufacturing,On Prem Server,16-11-2021 17:14,16-11-2021 18:19,03-12-2021 16:52,Michael,Excellent (5),Resolved,,Ticket Portal
T568,Low,Florida,Cyber Consultation,New Application Launch,Finance,On Prem Cloud,16-11-2021 20:20,17-11-2021 10:17,25-11-2021 10:30,Cinderalla,Satisfactory (3),Advised for a risk assessment,,Ticket Portal
T569,High,Indiana,Cyber Security Breach,Spyware,Marketing,On Prem Cloud,17-11-2021 02:08,17-11-2021 02:12,18-11-2021 22:53,Martina,Good (4),Resolved,,Ticket Portal
T57,Medium,District of Columbia,Cyber Consultation,Segregation of Duties,IT,On Prem Server,11-02-2021 23:36,12-02-2021 01:18,17-02-2021 21:45,Martina,Good (4),Recommended Threat Assessment,,Ticket Portal
T570,High,Georgia,Data Privacy,Privacy Assessment,Finance,On Prem Server,17-11-2021 18:04,17-11-2021 18:11,19-11-2021 09:47,Charles,Unsatisfactory (2),Resolved,,Ticket Portal
T571,Medium,Kansas,Data Privacy,HIPAA,Finance,Vendor Cloud,17-11-2021 19:16,17-11-2021 19:29,25-11-2021 14:18,Sylviya,Excellent (5),Advised for a risk assessment,,Mail
T572,Low,Ohio,Data Privacy,PCI-DSS,IT,On Prem Server,18-11-2021 11:19,18-11-2021 11:20,18-11-2021 11:21,Robbin,Good (4),Resolved,,Ticket Portal
T573,Low,California,Data Leak,Vishing,Marketing,On Prem Server,18-11-2021 11:23,18-11-2021 11:24,06-01-2022 17:54,Robbin,Good (4),Resolved,,Ticket Portal
T574,Low,Illinois,Cyber Consultation,BCP/DR,Finance,On Prem Cloud,18-11-2021 14:30,19-11-2021 11:40,25-11-2021 18:30,Charles,Unsatisfactory (2),Advised for a risk assessment,,Ticket Portal
T575,Low,Texas,Cyber Consultation,New Application Launch,Manufacturing,On Prem Server,18-11-2021 15:07,18-11-2021 15:12,25-11-2021 16:27,Bob,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T576,Low,Colorado,Security Gap,Obsolete Software,IT,On Prem Cloud,19-11-2021 11:22,19-11-2021 11:22,19-11-2021 11:24,Charles,Satisfactory (3),Resolved,,Personal Call
T577,High,Virginia,Data Leak,Insider Threat,Finance,On Prem Server,19-11-2021 11:27,19-11-2021 11:27,19-11-2021 11:29,Charles,Excellent (5),Resolved,,Ticket Portal
T578,Medium,Ohio,Data Privacy,Privacy Assessment,HR,On Prem Server,19-11-2021 11:33,19-11-2021 11:33,19-11-2021 11:34,Charles,Excellent (5),Resolved,,Ticket Portal
T579,Medium,New Jersey,Data Leak,Insider Threat,Finance,On Prem Server,19-11-2021 11:37,19-11-2021 11:38,19-11-2021 11:38,Charles,Satisfactory (3),Resolved,,Mail
T58,High,Mississippi,Security Gap,Unauthorized access,Manufacturing,Vendor Cloud,12-02-2021 17:45,12-02-2021 17:46,13-02-2021 11:45,Kareema,Excellent (5),Advised for a risk assessment,,Ticket Portal
T580,High,Pennsylvania,Data Privacy,Privacy Assessment,Finance,Vendor Cloud,22-11-2021 13:39,22-11-2021 13:41,15-12-2021 11:02,Sebastian,Excellent (5),Advised for a risk assessment,,Ticket Portal
T581,High,Utah,Cyber Security Breach,Trojan Attack,IT,Vendor Cloud,22-11-2021 15:18,22-11-2021 15:18,23-11-2021 11:24,Charlotte,Satisfactory (3),Advised for a risk assessment,,Ticket Portal
T582,High,Florida,Data Leak,Phishing,IT,On Prem Server,22-11-2021 23:08,22-11-2021 23:56,21-12-2021 18:50,Martina,Good (4),Advised for a risk assessment,,Mail
T583,High,California,Data Leak,Phishing,IT,On Prem Server,23-11-2021 10:16,23-11-2021 10:17,23-11-2021 14:48,Veronica,Unsatisfactory (2),Advised for a risk assessment,,Ticket Portal
T584,Medium,California,Data Privacy,PCI-DSS,Legal,On Prem Cloud,23-11-2021 17:20,24-11-2021 11:30,03-12-2021 10:29,Bob,Excellent (5),Resolved,,Ticket Portal
T585,High,Virginia,Cyber Security Breach,Firewall,IT,Vendor Cloud,23-11-2021 21:07,23-11-2021 21:14,24-11-2021 18:02,Sylviya,Excellent (5),Resolved,,Ticket Portal
T586,Low,Massachusetts,Data Privacy,GDPR,Finance,On Prem Cloud,23-11-2021 22:42,23-11-2021 22:56,29-11-2021 23:41,Martina,Unsatisfactory (2),Resolved,,Ticket Portal
T587,High,California,Data Privacy,PCI-DSS,HR,On Prem Server,24-11-2021 11:23,24-11-2021 11:24,24-11-2021 11:25,Robbin,Good (4),Resolved,,Ticket Portal
T588,Low,New York,Data Leak,Vishing,Finance,Vendor Cloud,25-11-2021 23:54,26-11-2021 09:36,07-12-2021 08:13,Cinderalla,Excellent (5),Advised for a risk assessment,,Ticket Portal
T589,High,New York,Cyber Security Breach,Trojan Attack,Marketing,On Prem Cloud,29-11-2021 12:15,29-11-2021 12:16,29-11-2021 12:18,Allan,Excellent (5),Advised for a risk assessment,,Ticket Portal
T59,Low,Illinois,Data Leak,Vishing,HR,On Prem Server,13-02-2021 10:30,13-02-2021 10:40,13-02-2021 19:16,Benny,Excellent (5),Resolved,,Ticket Portal
T590,High,Florida,Cyber Consultation,Database Security,Marketing,On Prem Server,29-11-2021 12:44,29-11-2021 12:44,29-11-2021 12:48,Allan,Unsatisfactory (2),Resolved,,Ticket Portal
T591,Medium,California,Data Privacy,PCI-DSS,Marketing,Vendor Cloud,29-11-2021 12:51,29-11-2021 12:51,29-11-2021 12:53,Allan,Excellent (5),Resolved,,Mail
T592,Low,Illinois,Cyber Consultation,Access Management,Manufacturing,Vendor Cloud,29-11-2021 12:56,29-11-2021 12:57,29-11-2021 13:03,Allan,Good (4),Recommended Threat Assessment,,Ticket Portal
T593,Low,Pennsylvania,Data Leak,Phishing,IT,Vendor Cloud,29-11-2021 13:07,29-11-2021 13:10,29-11-2021 13:10,Allan,Excellent (5),Resolved,,Personal Call
T594,High,New York,Cyber Security Breach,Firewall,IT,Vendor Cloud,29-11-2021 13:17,29-11-2021 13:19,29-11-2021 13:32,Allan,Satisfactory (3),Resolved,,Mail
T595,High,Illinois,Cyber Security Breach,Firewall,HR,On Prem Cloud,29-11-2021 16:58,29-11-2021 17:03,02-12-2021 17:47,Cinderalla,Excellent (5),Advised for a risk assessment,,Ticket Portal
T596,Low,Michigan,Data Leak,Phishing,Finance,On Prem Server,30-11-2021 21:03,01-12-2021 09:44,02-12-2021 18:06,Cinderalla,Good (4),Recommended Threat Assessment,,Ticket Portal
T597,High,California,Cyber Security Breach,Firewall,HR,Vendor Cloud,02-12-2021 09:19,03-12-2021 14:39,09-12-2021 11:52,Bob,Excellent (5),Resolved,,Ticket Portal
T598,Low,New York,Data Privacy,Privacy Assessment,Finance,On Prem Cloud,02-12-2021 12:46,02-12-2021 12:47,02-12-2021 12:48,Robbin,Excellent (5),Resolved,,Ticket Portal
T599,High,Virginia,Data Privacy,HIPAA,HR,On Prem Server,02-12-2021 12:49,02-12-2021 12:50,02-12-2021 12:53,Robbin,Unsatisfactory (2),Recommended Threat Assessment,,Ticket Portal
T60,Low,Massachusetts,Data Privacy,Privacy Assessment,IT,On Prem Cloud,14-02-2021 13:09,14-02-2021 16:35,18-02-2021 17:02,Martina,Excellent (5),Advised for a risk assessment,,Mail
T600,Low,Florida,Data Privacy,PCI-DSS,Finance,On Prem Server,02-12-2021 20:54,02-12-2021 22:16,03-12-2021 20:00,Martina,Unsatisfactory (2),Recommended Threat Assessment,,Ticket Portal
T601,Medium,Massachusetts,Cyber Consultation,Application Offboarding,HR,On Prem Server,02-12-2021 23:17,03-12-2021 09:40,07-12-2021 18:18,Cinderalla,Excellent (5),Resolved,,Ticket Portal
T602,Medium,Georgia,Cyber Consultation,Access Management,IT,On Prem Cloud,03-12-2021 13:06,03-12-2021 13:15,09-12-2021 09:23,Cinderalla,Excellent (5),Resolved,,Mail
T603,Low,Oregon,Security Gap,Unauthorized software,IT,On Prem Cloud,03-12-2021 19:40,03-12-2021 21:14,03-12-2021 21:34,Charlotte,Excellent (5),Advised for a risk assessment,,Ticket Portal
